# k1 has outgrown this gate, and the verdict it returns is no longer about the kernel.
#
# Six arms over one day, both tiers, counterbalanced, all at load 3.2-3.5. The `ply`, `null` and
# `rust` columns are the minimum of three blocks, in seconds.

arm                 ply        null       rust      ratio  verdict
c                   0.000242   0.000214   0.000071  3.41   OVER
c                   0.000211   0.000201   0.000071  2.97   undecided
c (earlier)         --         --         --        2.46   within
c (earlier)         --         --         --        2.76   within
c (earlier)         --         --         --        2.20   within
c (earlier)         --         --         --        3.69   undecided
cranelift           0.000358   0.000367   0.000071  5.04   OVER
cranelift           0.000370   0.000369   0.000071  5.21   OVER

# The C tier's k1 verdict is "within" three times, "undecided" twice and "OVER" once, over a range
# of 2.20 to 3.69 against a bar of 3.0. That is not a tier that straddles the bar. It is an
# instrument that has stopped resolving the thing it measures.
#
# Read the null column. `null` is the same harness with no kernel in it, and for the C tier it is
# 0.000201 against a `ply` of 0.000211 -- the kernel is about a twentieth of what is being timed.
# For the in-process tier `ply` comes in *below* `null` in one arm. Whatever these ratios are
# ranking, it is mostly the harness.
#
# `analyze.py` computes `ratio = ply / rust` and `resolution = |ply - null| / rust`, and calls a
# verdict undecided when the ratio is within the resolution of the bar. That resolution is a
# measure of *signal*, not of error: as the kernel gets faster, `ply - null` shrinks, the
# resolution shrinks with it, and the gate becomes **more** confident about a number that is
# **more** dominated by overhead. At `ply == null` it would report a hard verdict on pure noise.
#
# Two things follow, and neither is "the tier got worse".
#
# 1. k1's input is 64KB, chosen when this measurement discriminated. It no longer does. The input
#    has to grow until `ply` is well clear of `null` -- an order of magnitude would put the kernel
#    at about 2ms and the harness at 5% of it.
#
# 2. The resolution should be an error bar rather than a signal measure: the spread of the blocks,
#    or the spread of the null arm, not the distance between them.
#
# What survives the noise, because it is a fivefold-repeated difference between two arms measured
# the same way: the C tier's whole k1 path is consistently faster than the in-process tier's --
# 0.000211-0.000242 against 0.000358-0.000387 -- and both are several times the Rust bar's
# 0.000071. The C tier roughly halves the other tier's k1 ratio. Whether it clears 3.0 is a
# question this harness can no longer answer.
